20241212 115100;6150;6150;6149.75;6149.75;17
20241212 115200;6149.25;6149.25;6149.25;6149.25;2
20241212 115300;6149.5;6149.75;6149.25;6149.25;5
20241212 115400;6149.25;6149.25;6149;6149.25;6
20241212 115500;6149.5;6150;6149.5;6150;12
20241212 115600;6150;6150;6149.5;6149.5;6
20241212 115700;6149.5;6149.5;6149.5;6149.5;7
20241212 115800;6149.5;6149.5;6149.25;6149.25;14
20241212 115900;6149.25;6149.25;6149;6149;9
20241212 120000;6148.75;6148.75;6148.75;6148.75;3
20241212 120100;6149;6149.25;6149;6149.25;23
20241212 120200;6149.25;6149.25;6149;6149;13
20241212 120300;6148.75;6149.25;6148.75;6149.25;8
20241212 120400;6149;6149;6148.5;6148.5;10
20241212 120500;6148.25;6148.5;6148.25;6148.5;31
20241212 120600;6148.5;6149.25;6148.5;6149.25;16
20241212 120700;6149.5;6150.25;6149.25;6150.25;39
20241212 120800;6150;6150.5;6150;6150.25;28
20241212 120900;6150.25;6150.5;6150.25;6150.25;8
20241212 121000;6150.5;6150.5;6150;6150;5
20241212 121100;6150.25;6150.5;6150.25;6150.5;13
20241212 121200;6150.75;6151.25;6150.75;6151;7
20241212 121300;6151;6151;6150.75;6151;11
20241212 121400;6150.75;6150.75;6150.75;6150.75;3
20241212 121500;6150.75;6150.75;6150.5;6150.75;13
20241212 121600;6150.75;6150.75;6150.25;6150.25;11
20241212 121700;6150.5;6150.5;6150.5;6150.5;4
20241212 121800;6150.25;6150.25;6150;6150.25;14
20241212 121900;6150.25;6150.25;6150.25;6150.25;28
20241212 122000;6150.5;6150.75;6150.5;6150.75;25
20241212 122100;6150.75;6150.75;6150.75;6150.75;10
20241212 122200;6150.75;6151;6150.75;6151;20
20241212 122300;6151;6151;6150.75;6150.75;10
20241212 122400;6150.75;6150.75;6150.5;6150.5;4
20241212 122500;6150.75;6151;6150.75;6151;4
20241212 122600;6151;6151;6150.25;6150.5;5
20241212 122700;6150.5;6150.5;6150.5;6150.5;3
20241212 122800;6150.75;6151;6150.75;6151;9
20241212 122900;6150.75;6150.75;6150.75;6150.75;1
20241212 123100;6150.5;6150.5;6150.5;6150.5;8
20241212 123200;6150.5;6150.5;6149.5;6149.5;28
20241212 123300;6149.25;6149.75;6149;6149;38
20241212 123400;6149;6149;6148.75;6148.75;17
20241212 123500;6148.75;6148.75;6148;6148.5;13
20241212 123600;6148.25;6148.25;6148;6148;10
20241212 123700;6148;6148.25;6148;6148;14
20241212 123800;6148;6148.25;6148;6148.25;15
20241212 123900;6148.5;6149.25;6148.5;6149.25;31
20241212 124000;6149.5;6149.5;6149.5;6149.5;24
20241212 124100;6149.5;6149.5;6148.75;6148.75;4
20241212 124200;6148.5;6148.5;6148.25;6148.25;10
20241212 124300;6148.25;6148.25;6148;6148;8
20241212 124400;6148.25;6148.25;6148;6148.25;10
20241212 124500;6148;6148;6147.75;6147.75;8
20241212 124600;6148;6148.25;6148;6148.25;11
20241212 124700;6148;6148.25;6148;6148.25;7
20241212 124800;6148.25;6149.25;6148.25;6149;41
20241212 124900;6149;6149.5;6149;6149.25;21
20241212 125000;6148.75;6148.75;6148.75;6148.75;3
20241212 125100;6149;6149;6148.75;6148.75;3
20241212 125200;6148.75;6148.75;6148.5;6148.5;9
20241212 125300;6148.5;6148.5;6148.5;6148.5;5
20241212 125400;6148.5;6148.5;6148.25;6148.25;5
20241212 125500;6148.5;6148.5;6147.25;6147.25;32
20241212 125600;6147.25;6147.5;6147;6147.25;19
20241212 125700;6147.25;6147.25;6147;6147;4
20241212 125800;6147.75;6148;6147.5;6147.75;12
20241212 125900;6148;6148;6147.5;6147.5;17
20241212 130000;6147.5;6147.5;6147.5;6147.5;4
20241212 130100;6147.5;6147.75;6147;6147;22
20241212 130200;6147;6147;6145.5;6145.75;94
20241212 130300;6145.5;6145.75;6145.25;6145.25;24
20241212 130400;6145;6145.25;6145;6145;33
20241212 130500;6145;6145;6144.75;6145;20
20241212 130600;6145;6147;6145;6147;27
20241212 130700;6147;6147.5;6146.5;6147.5;38
20241212 130800;6147.5;6148.25;6147;6148.25;41
20241212 130900;6148.25;6148.25;6147.75;6147.75;34
20241212 131000;6148;6148;6148;6148;12
20241212 131100;6148;6148;6147.25;6147.25;2
20241212 131200;6147.25;6147.25;6147.25;6147.25;11
20241212 131300;6147.25;6148;6147.25;6148;8
20241212 131400;6148.5;6148.75;6148.5;6148.75;4
20241212 131500;6148.5;6148.75;6148.25;6148.25;7
20241212 131600;6148;6149.5;6147.5;6149.25;34
20241212 131700;6149.25;6149.25;6148.75;6149.25;19
20241212 131800;6149;6149.5;6149;6149.25;67
20241212 131900;6149;6149.75;6149;6149.25;55
20241212 132000;6149;6149.75;6149;6149.75;7
20241212 132100;6149.75;6149.75;6149;6149.5;15
20241212 132200;6149.5;6150.25;6149.5;6150.25;30
20241212 132300;6150.25;6151;6150.25;6151;30
20241212 132400;6151;6151;6150.75;6151;30
20241212 132500;6151;6151;6150.5;6150.5;8
20241212 132600;6150.5;6150.5;6149.25;6149.5;35
20241212 132700;6150;6150.5;6150;6150.5;35
20241212 132800;6150.5;6150.5;6150.5;6150.5;12
20241212 132900;6150;6150.25;6149.75;6150.25;15
20241212 133000;6150.5;6151;6150.5;6150.75;19
20241212 133100;6150;6155;6148.5;6148.75;136
20241212 133200;6148;6148;6146;6146.25;85
20241212 133300;6146;6146.5;6145;6145.75;85
20241212 133400;6145.75;6146.5;6144;6145.25;84
20241212 133500;6145.5;6146.25;6144.25;6144.5;68
20241212 133600;6144.25;6144.25;6142.5;6142.5;89
20241212 133700;6142.5;6142.5;6138.75;6141;353
20241212 133800;6140.75;6142.5;6140.5;6142.25;114
20241212 133900;6142.25;6143.75;6141.75;6143.25;136
20241212 134000;6143;6143.25;6142;6142.25;63
20241212 134100;6142.25;6142.75;6141.25;6142.25;98
20241212 134200;6142.25;6142.5;6141.75;6142;98
20241212 134300;6141.75;6142.5;6141.5;6142;113
20241212 134400;6142;6144.5;6142;6144.25;193
20241212 134500;6144.25;6145.5;6144.25;6144.75;218
20241212 134600;6144.75;6145;6143.75;6143.75;71
20241212 134700;6144;6146;6144;6146;91
20241212 134800;6146;6146.75;6145.75;6146;65
20241212 134900;6145.75;6145.75;6144.25;6144.75;63
20241212 135000;6144.5;6145.25;6144.5;6145;49
20241212 135100;6145;6145.25;6144;6144.5;79
20241212 135200;6144.25;6144.75;6144;6144;56
20241212 135300;6144;6144.5;6144;6144;51
20241212 135400;6144;6145.5;6143.75;6145.25;51
20241212 135500;6145.5;6146.25;6145;6145;80
20241212 135600;6145;6145.5;6144.5;6145;74
20241212 135700;6145;6145;6143.5;6144.25;57
20241212 135800;6144;6144.25;6143.5;6144;75
20241212 135900;6144;6145;6144;6144.75;48
20241212 140000;6144.5;6145.5;6143.75;6145.25;61
20241212 140100;6145.5;6146.5;6144.75;6146.25;100
20241212 140200;6146.5;6146.75;6145;6146.25;82
20241212 140300;6146.5;6147.5;6146.5;6147.25;89
20241212 140400;6147.25;6148.5;6147.25;6147.75;85
20241212 140500;6147.25;6147.75;6146.5;6146.5;28
20241212 140600;6146.25;6147.25;6146;6147;34
20241212 140700;6147.5;6148;6146.5;6147;41
20241212 140800;6146.75;6147.5;6146.5;6146.5;23
20241212 140900;6146.75;6148;6146.75;6147.75;41
20241212 141000;6148;6148;6147;6147.25;27
20241212 141100;6147.25;6147.75;6147.25;6147.5;24
20241212 141200;6147.25;6147.5;6145.75;6145.75;25
20241212 141300;6145.5;6145.75;6144.5;6145;153
20241212 141400;6145.25;6145.25;6144.25;6144.25;47
20241212 141500;6144.25;6144.25;6143.75;6143.75;19
20241212 141600;6143.5;6144.5;6143;6144.5;55
20241212 141700;6144.5;6146;6144.5;6145.5;44
20241212 141800;6145.25;6145.5;6144.25;6144.5;22
20241212 141900;6145;6146;6143.75;6144;55
20241212 142000;6144;6145;6143.25;6145;115
20241212 142100;6144.75;6145.25;6144.25;6145;56
20241212 142200;6145;6146.5;6145;6146.5;52
